Disease_UMLSID	MeSH Disease Terms 
C0040336	Tobacco Use Disorder
C0040411	Tongue Neoplasms
C0040422	Tonsillar Neoplasms
C0040425	Tonsillitis
C0040427	Tooth Abnormalities
C0040435	Tooth Diseases
C0040445	Tooth Mobility
C0040460	Toothache
C0040479	Torsades de Pointes
C0040485	Torticollis
C0040517	Tourette Syndrome
C0040553	Toxocariasis
C0040558	Toxoplasmosis
C0040560	Toxoplasmosis, Congenital
C0040592	Trachoma
C0040604	Trail Making Test
C0040715	Translocation, Genetic
C0040822	Tremor
C0040896	Trichinellosis
C0040921	Trichomonas Infections
C0040954	Infection by Trichuris trichiura
C0040961	Tricuspid Valve Insufficiency
C0040997	Trigeminal Neuralgia
C0041107	Trisomy
C0041228	Trypanosomiasis, African
C0041234	Chagas Disease
C0041296	Tuberculosis
C0041316	Tuberculosis, Lymph Node
C0041318	Tuberculosis, Meningeal
C0041321	Tuberculosis, Miliary
C0041324	Tuberculosis, Osteoarticular
C0041326	Tuberculosis, Pleural
C0041327	Tuberculosis, Pulmonary
C0041330	Tuberculosis, Spinal
C0041341	Tuberous Sclerosis
C0041343	Tubo-ovarian abscess
C0041351	Tularemia
C0041374	Tumor Virus Infections
C0041408	Turner Syndrome
C0041466	Typhoid Fever
C0041471	TYPHUS
C0041472	Endemic Flea-Borne Typhus
C0041473	Typhus, Epidemic Louse-Borne
C0041582	Ulcer
C0041648	Infection by Uncinaria
C0041657	Unconsciousness
C0041834	Erythema
C0041909	Upper gastrointestinal hemorrhage
C0041912	Upper Respiratory Infections
C0041948	Uremia
C0041955	Ureteral Neoplasms
C0041956	Ureteral Obstruction
C0041976	Urethritis
C0042018	Urinary Calculi
C0042023	Increased frequency of micturition
C0042024	Urinary Incontinence
C0042025	Urinary Incontinence, Stress
C0042029	Urinary Tract Infections
C0042035	Urination Disorders
C0042063	Urogenital Abnormalities
C0042065	Urogenital Neoplasms
C0042075	Urologic Diseases
C0042076	Urologic Neoplasms
C0042109	Urticaria
C0042111	Urticaria Pigmentosa
C0042131	Uterine Diseases
C0042133	Uterine Fibroids
C0042135	Uterine Inertia
C0042138	Uterine Neoplasms
C0042162	Uveal Neoplasms
C0042164	Uveitis
C0042165	Uveitis, Anterior
C0042166	Uveitis, Intermediate
C0042167	Uveitis, Posterior
C0042170	Uveomeningoencephalitic Syndrome
C0042251	Vaginal Diseases
C0042341	Varicocele
C0042344	Varicose Ulcer
C0042345	Varicose Veins
C0042373	Vascular Diseases
C0042376	Vascular Headaches
C0042384	Vasculitis
C0042385	Vasculitis, Allergic Cutaneous
C0042420	Syncope, Vasovagal
C0042485	Venous Insufficiency
C0042487	Venous Thrombosis
C0042510	Ventricular Fibrillation
C0042512	Ventricular Outflow Obstruction
C0042514	Tachycardia, Ventricular
C0042531	Verbal Learning
C0042548	Plantar wart
C0042571	Vertigo
C0042580	Vesico-Ureteral Reflux
C0042594	Vestibular Diseases
C0042749	Viremia
C0042755	Virilism
C0042769	Virus Diseases
C0042789	Vision
C0042790	Vision Disorders
C0042798	Vision, Low
C0042830	Visual Perception
C0042842	Vitamin A Deficiency
C0042847	Vitamin B 12 Deficiency
C0042850	Vitamin B Deficiency
C0042870	Vitamin D Deficiency
C0042875	Vitamin E Deficiency
C0042880	Vitamin K Deficiency
C0042900	Vitiligo
C0042950	Volition
C0042963	Vomiting
C0042974	von Willebrand Disease
C0042994	Vulvar Diseases
C0042995	Vulvar Neoplasms
C0042996	Vulvitis
C0042998	Vulvovaginitis
C0043012	Wakefulness
C0043037	Warts
C0043046	Wasting Syndrome
C0043049	Water Intoxication
C0043089	Wechsler Scales
C0043092	Wegener Granulomatosis
C0043094	Weight Gain
C0043096	Weight Loss
C0043102	Weil Disease
C0043117	Purpura, Thrombocytopenic, Idiopathic
C0043119	Werner Syndrome
C0043124	West Nile Fever
C0043144	Wheezing
C0043145	Whiplash Injuries
C0043167	Pertussis
C0043202	Wolff-Parkinson-White Syndrome
C0043207	Wolfram Syndrome
C0043208	Wolman Disease
C0043250	Injury wounds
C0043253	Wounds, Nonpenetrating
C0043254	Wounds, Penetrating
C0043264	Wrist Injuries
C0043325	Xanthomatosis
C0043346	Xeroderma Pigmentosum
C0043352	Xerostomia
C0043379	XYY Karyotype
C0043388	Yaws
C0043395	Yellow Fever
C0043515	Zollinger-Ellison syndrome
C0078888	Accelerated Idioventricular Rhythm
C0078917	Albinism, Ocular
C0078918	Albinism, Oculocutaneous
C0079027	Blood Loss, Surgical
C0079153	Hyperkeratosis, Epidermolytic
C0079218	Fibromatosis, Aggressive
C0079294	Epidermolysis Bullosa Dystrophica
C0079487	Helicobacter Infections
C0079504	Hermanski-Pudlak Syndrome
C0079541	Holoprosencephaly
C0079583	Ichthyosiform Erythroderma, Congenital
C0079588	Ichthyosis, X-Linked
C0079731	Lymphoma, B-Cell
C0079744	Lymphoma, Large-Cell, Diffuse
C0079746	Lymphoma, Large-Cell, Immunoblastic
C0079748	Lymphoma, Lymphoblastic
C0079772	Lymphoma, T-Cell
C0079773	Lymphoma, T-Cell, Cutaneous
C0079774	Lymphoma, T-Cell, Peripheral
C0079924	Oligohydramnios
C0080032	Pleural Effusion, Malignant
C0080040	Postpoliomyelitis Syndrome
C0080174	Spina Bifida Occulta
C0080178	Spinal Dysraphism
C0080179	Spinal Fractures
C0080233	Tooth Loss
C0080274	Urinary Retention
C0085073	Prosthesis-Related Infections
C0085074	Granuloma Annulare
C0085078	Lysosomal Storage Diseases
C0085082	Fungemia
C0085083	Ovarian Hyperstimulation Syndrome
C0085084	Motor Neuron Disease
C0085090	Lymphoma, AIDS-Related
C0085094	Head Injuries, Closed
C0085096	Peripheral Vascular Diseases
C0085110	Severe Combined Immunodeficiency
C0085129	Bronchial Hyperreactivity
C0085132	Mucopolysaccharidosis_VII
C0085136	Central Nervous System Neoplasms
C0085138	Choroid Plexus Neoplasms
C0085159	Seasonal Affective Disorder
C0085166	Vaginosis, Bacterial
C0085179	Eosinophilia-Myalgia Syndrome
C0085183	Neoplasms, Second Primary
C0085207	Diabetes, Gestational
C0085215	Ovarian Failure, Premature
C0085220	Cerebral Amyloid Angiopathy
C0085253	Still's Disease, Adult-Onset
C0085257	Yin Deficiency
C0085258	Yang Deficiency
C0085261	Proteus Syndrome
C0085278	Antiphospholipid Syndrome
C0085280	Alagille Syndrome
C0085285	Mental Competency
C0085293	Hepatitis E
C0085298	Death, Sudden, Cardiac
C0085315	Toxoplasmosis, Cerebral
C0085390	Li-Fraumeni Syndrome
C0085394	Serratia Infections
C0085395	Ureaplasma Infections
C0085409	Polyendocrinopathies, Autoimmune
C0085413	Polycystic Kidney, Autosomal Dominant
C0085417	Epilepsy, Complex Partial
C0085423	Gram-Negative Bacterial Infections
C0085435	Arthritis, Reactive
C0085436	Meningitis, Cryptococcal
C0085437	Meningitis, Bacterial
C0085438	Meningitis, Fungal
C0085541	Epilepsy, Frontal Lobe
C0085547	Phenylketonuria, Maternal
C0085548	Polycystic Kidney, Autosomal Recessive
C0085605	Liver Failure
C0085606	Urgency of micturition
C0085610	Sinus bradycardia
C0085612	Ventricular arrhythmia
C0085631	Psychomotor Agitation
C0085636	Photophobia
C0085649	Peripheral edema
C0085652	Pyoderma Gangrenosum
C0085655	Polymyositis
C0085656	Nummular eczema
C0085677	Alcoholic Neuropathy
C0085681	Hyperphosphatemia (disorder)
C0085682	Hypophosphatemia
C0085786	Hamman-Rich syndrome
C0086032	Color Vision
C0086227	Enterobiasis
C0086439	Hypokinesia
C0086543	Cataract
C0086651	Mucopolysaccharidosis, MPS-IV-A
C0087012	Spinocerebellar Ataxias
C0087130	Uncertainty
C0149521	Pancreatitis, Chronic
C0149526	Allergic urticaria
C0149654	Conduct Disorder
C0149678	Epstein-Barr Virus Infections
C0149704	Gingivostomatitis
C0149721	Hypertrophy, Left Ventricular
C0149725	Lower respiratory tract infection
C0149745	Oral Ulcer
C0149782	Squamous cell carcinoma of lung
C0149871	Deep Vein Thrombosis
C0149893	Secondary glaucoma
C0149911	Humoral hypercalcemia of malignancy (disorder)
C0149922	Lichen Simplex Chronicus
C0149925	Carcinoma, Small Cell
C0149931	Migraine Disorders
C0149948	Acute otitis externa
C0149966	Gonorrhea of pharynx
C0149985	Syphilis, secondary
C0150045	Urinary Incontinence, Urge
C0150055	Chronic pain
C0151436	Vasculitis, Hypersensitivity
C0151467	Addisonian crisis
C0151482	Megaloblastic anemia due to folate deficiency
C0151491	Musculoskeletal Abnormalities
C0151526	Premature Birth
C0151636	Ventricular Premature Complexes
C0151686	Growth retardation
C0151699	Intracranial Hemorrhages
C0151714	Hypermagnesemia
C0151721	Testicular hypogonadism
C0151723	Hypomagnesemia
C0151740	Intracranial Hypertension
C0151744	Myocardial Ischemia
C0151786	Muscle Weakness
C0151874	Fungal infection of lung
C0151907	Discoloration of skin
C0151908	Dry skin
C0151940	Hypocalcemic tetany
C0152020	Gastroparesis
C0152025	Polyneuropathies
C0152026	Retinal Vasculitis
C0152030	Skin irritation
C0152068	Echinococcus granulosus infection
C0152072	Ovale malaria
C0152101	Hypoplastic Left Heart Syndrome
C0152136	Low Tension Glaucoma
C0152253	Posterior synechiae
C0152486	Salmonella sepsis
C0152499	Acute amebiasis
C0152516	Bacterial enteritis
C0152936	Plague, Septicemic
C0152945	Gastrointestinal anthrax
C0152946	Anthrax sepsis
C0152964	Streptococcal sepsis
C0152965	Staphylococcal bacteraemia
C0152967	Septicemia due to anaerobes
C0152973	Serratia sepsis
C0153027	Herpes zoster keratoconjunctivitis
C0153188	Syphilis, tertiary
C0153193	Acute gonococcal epididymo-orchitis
C0153195	Acute gonococcal cervicitis
C0153196	Acute gonococcal endometritis
C0153216	Gonococcal joint infection
C0153225	Gonococcal meningitis
C0153227	Gonococcal endocarditis
C0153240	Latent yaws
C0153246	Tinea manus
C0153252	Systemic candidiasis
C0153254	Candidal endocarditis
C0153256	Candidal meningitis
C0153289	Echinococcus granulosus infection of liver
C0153290	Echinococcus granulosus infection of lung
C0153467	Malignant tumor of peritoneum
C0153579	Malignant neoplasm of fallopian tube
C0153594	Malignant neoplasm of testis
C0153601	Malignant neoplasm of penis
C0153633	Malignant neoplasm of brain
C0153685	Secondary malignant neoplasm of kidney
C0154246	Urea Cycle Disorders, Inborn
C0154251	Lipid Metabolism Disorders
C0154301	Acquired thrombocytopenia
C0154639	Streptococcal meningitis
C0154640	Staphylococcal meningitis
C0154723	Migraine with Aura
C0154731	Glossopharyngeal Neuralgia
C0154778	Myopia, Degenerative
C0155213	Hypertrichosis of eyelid
C0155305	Optic Neuropathy, Ischemic
C0155440	Chronic tubotympanic suppurative otitis media
C0155626	Acute myocardial infarction
C0155749	Arterial embolus and thrombosis
C0155804	Acute maxillary sinusitis
C0155814	Acute epiglottitis
C0155860	Pneumonia due to Pseudomonas
C0155862	Streptococcal pneumonia
C0155866	Inhalational anthrax
C0155877	Allergic asthma
C0155880	Intrinsic asthma
C0155919	Acute pulmonary edema
C0156393	Atrophy of vulva
C0156543	Unspecified Abortion
C0156677	Eclampsia in pregnancy
C0157726	Corns and callus
C0157749	Arthropathy associated with infection
C0158266	Intervertebral Disk Degeneration
C0158371	Acute osteomyelitis
C0158570	Vascular Malformations
C0158996	Anemia of prematurity
C0162283	Diabetes Insipidus, Nephrogenic
C0162309	Adrenoleukodystrophy
C0162316	Anemia, Iron-Deficiency
C0162429	Malnutrition
C0162494	Pregnancy Complications, Parasitic
C0162526	AIDS-Related Opportunistic Infections
C0162529	Colitis, Ischemic
C0162534	Prion Diseases
C0162538	IgA Deficiency
C0162539	IgG Deficiency
C0162550	Akathisia, Drug-Induced
C0162557	Liver Failure, Acute
C0162565	Porphyria, Acute Intermittent
C0162566	Porphyria Cutanea Tarda
C0162568	Protoporphyria, Erythropoietic
C0162627	Skin Diseases, Bacterial
C0162628	Skin Diseases, Viral
C0162635	Angelman Syndrome
C0162666	Mitochondrial Encephalomyopathies
C0162670	Mitochondrial Myopathies
C0162671	MELAS Syndrome
C0162674	Ophthalmoplegia, Chronic Progressive External
C0162677	Caliciviridae Infections
C0162678	Neurofibromatoses
C0162703	Pain Threshold
C0162739	HELLP Syndrome
C0162770	Hypertrophy, Right Ventricular
C0162809	Kallmann Syndrome
C0162810	Cicatrix, Hypertrophic
C0162820	Dermatitis, Allergic Contact
C0162834	Hyperpigmentation
C0162835	Hypopigmentation
C0162836	Hidradenitis Suppurativa
C0162869	Aneurysm, Ruptured
C0162871	Aortic Aneurysm, Abdominal
C0162872	Aortic Aneurysm, Thoracic
C0175167	Acneiform Eruptions
C0175683	Citrullinemia
C0175693	Silver-Russell Syndrome
C0175694	Smith-Lemli-Opitz Syndrome
C0175702	Williams Syndrome
C0175704	LEOPARD Syndrome
C0178299	Infection of skin AND/OR subcutaneous tissue
C0178416	Hypoplastic anemia
C0184567	Acute onset pain
C0205770	Papilloma, Choroid Plexus
C0206042	Insomnia, Fatal Familial
C0206062	Lung Diseases, Interstitial
C0206063	Radiation Pneumonitis
C0206064	Microvascular Angina
C0206067	Focal Epithelial Hyperplasia
C0206081	Hyperandrogenism
C0206100	Signal Detection, Psychological
C0206114	Periodontal Attachment Loss
C0206139	Lichen Planus, Oral
C0206141	Idiopathic Hypereosinophilic Syndrome
C0206146	Myocardial Stunning
C0206171	Community-Acquired Infections
C0206172	Diabetic Foot
C0206178	Cytomegalovirus Retinitis
C0206180	Lymphoma, Large-Cell, Ki-1
C0206245	Amyloid Neuropathies, Familial
C0206247	Amyloid Neuropathies
C0206307	Canavan Disease
C0206366	Ossification of Posterior Longitudinal Ligament
C0206368	Exfoliation Syndrome
C0206504	Tympanic Membrane Perforation
C0206525	Tuberculosis, Drug-Resistant
C0206586	Endolymphatic Hydrops
C0206609	Flaviviridae Infections
C0206613	Paramyxoviridae Infections
C0206616	Personal Construct Theory
C0206622	Adenomyoma
C0206623	Carcinoma, Adenosquamous
C0206624	Hepatoblastoma
C0206633	Angiomyolipoma
C0206646	Fibromatosis, Abdominal
C0206650	Fibroadenoma
C0206654	Leiomyomatosis
C0206660	Germinoma
C0206661	Gonadoblastoma
C0206663	Neuroectodermal Tumors, Primitive
C0206669	Adenoma, Liver Cell
C0206677	Adenomatous Polyps
C0206681	Adenocarcinoma, Clear Cell
C0206682	Adenocarcinoma, Follicular
C0206683	Carcinoma, Papillary, Follicular
C0206686	Adrenocortical Carcinoma
C0206687	Carcinoma, Endometrioid
C0206692	Carcinoma, Lobular
C0206693	Carcinoma, Medullary
C0206695	Carcinoma, Neuroendocrine
C0206698	Cholangiocarcinoma
C0206699	Cystadenocarcinoma, Mucinous
C0206701	Cystadenocarcinoma, Serous
C0206703	Carcinoma, Giant Cell
C0206704	Carcinoma, Large Cell
C0206708	Cervical Intraepithelial Neoplasia
C0206709	Cystadenoma, Serous
C0206710	Neoplasms, Basal Cell
C0206716	Ganglioglioma
C0206720	Neoplasms, Squamous Cell
C0206722	Neoplasms, Gonadal Tissue
C0206727	Nerve Sheath Neoplasms
C0206733	Hemangioma, Capillary
C0206734	Hemangioblastoma
C0206735	Melanoma, Amelanotic
C0206736	Nevus, Blue
C0206738	Nevus, Spindle Cell
C0206743	Rhabdoid Tumor
C0206752	Alphavirus Infections
C0206754	Neuroendocrine Tumors
C0206762	Limb Deformities, Congenital
C0220655	Malignant pericardial effusion
C0220656	Malignant ascites
C0220756	Niemann-Pick Disease, Type C
C0220785	Anthropology
C0220987	Hereditary orotic aciduria
C0220989	Acquired partial lipodystrophy
C0220994	Hyperammonemia
C0221002	Hyperparathyroidism, Primary
C0221013	Mastocytosis, Systemic
C0221023	Cyclic neutropenia
C0221032	Familial generalized lipodystrophy
C0221074	Depression, Postpartum
C0221154	Paroxysmal hypertension
C0221263	Cafe-au-Lait Spots
C0221269	Pseudolymphoma
C0221392	Atrophic Vaginitis
C0221406	Pituitary ACTH Hypersecretion
C0221468	Vitamin D-dependent rickets
C0221757	alpha 1-Antitrypsin Deficiency
C0221765	Chronic schizophrenia
C0231341	Aging, Premature
C0231403	Severe anxiety (panic)
C0231528	Myalgia
C0232058	Apnea in the newborn
C0232849	Bladder pain
C0232940	Secondary physiologic amenorrhea
C0233485	apprehension
C0233494	Tension
C0233828	Intuition
C0234194	Pain Perception
C0234421	Consciousness
C0234925	Greasy skin
C0234974	Simple Partial Seizures
C0234978	Motor cortex epilepsy
C0235032	Neurotoxicity Syndromes
C0235063	Respiratory Depression
C0235238	Cycloplegia
C0235267	Redness of eye
C0235339	Mouth irritation
C0235480	Paroxysmal atrial fibrillation
C0235950	Zinc deficiency
C0236642	Pick Disease of the Brain
C0236663	Alcohol withdrawal syndrome
C0236664	Alcohol-Related Disorders
C0236733	Amphetamine-Related Disorders
C0236736	Cocaine-Related Disorders
C0236780	Mixed bipolar I disorder
C0236792	Asperger Syndrome
C0236811	Chronobiology Disorders
C0236816	Stress Disorders, Traumatic, Acute
C0236964	Attention Deficit and Disruptive Behavior Disorder
C0236969	Substance-Related Disorders
C0236970	Alcohol-Induced Disorders
C0237104	Spirituality
C0237873	Sexual Dysfunction, Physiological
C0237963	Poisoning by acetaminophen
C0237996	anticholinergic toxicity
C0238052	Xanthomatosis, Cerebrotendinous
C0238080	Toxic effect of cyanide
C0238096	Embolism, Paradoxical
C0238111	Lennox-Gastaut syndrome
C0238190	Myositis, Inclusion Body
C0238198	Gastrointestinal Stromal Tumors
C0238217	Renal transplant rejection
C0238298	Myxedema coma
C0238357	Paralysis, Hyperkalemic Periodic
C0238358	Hypokalemic Periodic Paralysis
C0238425	Hemoglobin SS disease with crisis
C0238452	Thallium poisoning
C0238462	Medullary carcinoma of thyroid
C0238463	Papillary thyroid carcinoma
C0239295	Candidiasis of the esophagus
C0241310	Suprapubic pain
C0241910	Hepatitis, Autoimmune
C0241961	Angiomyolipoma of kidney
C0242172	Pelvic Inflammatory Disease
C0242216	Gallstones
C0242231	Coronary Stenosis
C0242339	Dyslipidemias
C0242350	Erectile dysfunction
C0242379	Malignant neoplasm of lung
C0242383	Age related macular degeneration
C0242422	Parkinsonian Disorders
C0242429	Sore Throat
C0242453	Prostatism
C0242459	Simple Pulmonary Eosinophilia
C0242488	Acute Lung Injury
C0242596	Neoplasm, Residual
C0242604	Thyroid Hormone Resistance Syndrome
C0242647	Lymphoma, Mucosa-Associated Lymphoid Tissue
C0242666	Protein S Deficiency
C0242670	Persistent Vegetative State
C0242698	Ventricular Dysfunction, Left
C0242707	Ventricular Dysfunction, Right
C0242723	Parasitemia
C0242788	Breast Neoplasms, Male
C0242852	Vitreoretinopathy, Proliferative
C0242855	Congenital atresia of pulmonary valve
C0242966	Systemic Inflammatory Response Syndrome
C0242973	Ventricular Dysfunction
C0242992	Multiple Chemical Sensitivity
C0242996	Maze Learning
C0243000	Impotence, Vasculogenic
C0243001	Abdominal Abscess
C0243002	Tricuspid Atresia
C0243025	Hantavirus Pulmonary Syndrome
C0243026	Sepsis
C0243050	Cardiovascular Abnormalities
C0259799	Punctate keratitis
C0260662	Hearing Disorders
C0261439	Accidental poisoning by methyl alcohol
C0261486	Accidental poisoning by lead and its compounds and fumes
C0262399	shoulder bursitis
C0262633	Shoulder tendinitis
C0263283	Contact dermatitis due to Rhus diversiloba
C0263859	Acquired Hyperostosis Syndrome
C0264115	Drug-induced osteoporosis
C0264515	Pneumonia, Necrotizing
C0264716	Chronic heart failure
C0264939	Systemic Vasculitis
C0265706	Gastroschisis
C0265965	Dyskeratosis Congenita
C0266015	Digestive System Abnormalities
C0266463	Lissencephaly
C0266929	Chronic Periodontitis
C0267055	Erosive esophagitis
C0267176	Gastroparesis due to diabetes mellitus
C0267390	Chronic ulcerative rectosigmoiditis
C0267436	Non-infective diarrhea
C0267509	Chronic idiopathic constipation
C0267511	Drug-induced constipation
C0267941	Pancreatitis, Acute Necrotizing
C0267963	Exocrine Pancreatic Insufficiency
C0268108	Chronic gouty arthritis
C0268490	Tyrosinemia, Type I
C0268542	Ornithine Carbamoyltransferase Deficiency Disease
C0268596	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
C0269050	Endomyometritis
C0269084	Vulvar Vestibulitis
C0269398	Miscarriage with sepsis
C0269658	Mild pre-eclampsia
C0270327	Bedwetting
C0270328	Diurnal Enuresis
C0270425	Bipolar disorder in remission
C0270458	Severe major depression with psychotic features
C0270549	Generalized Anxiety Disorder
C0270611	Brain Injuries
C0270612	Leukoencephalopathies
C0270736	Essential Tremor
C0270846	Epileptic drop attack
C0270851	Epilepsy, Benign Neonatal
C0270853	Myoclonic Epilepsy, Juvenile
C0270857	Epilepsy, Reflex
C0271066	Choroidal retinal neovascularization
C0271084	Exudative age-related macular degeneration
C0271093	Stargardt's disease
C0271097	Usher Syndromes
C0271152	Malignant glaucoma
C0271429	Acute otitis media
C0271568	Laron Syndrome
C0271578	Female hypogonadism syndrome
C0271623	Hypogonadotropic hypogonadism
C0271650	Glucose Intolerance
C0271693	Acquired generalized lipodystrophy
C0271694	Lipodystrophy, Familial Partial
C0271815	Postpartum Thyroiditis
C0272275	Heparin-induced thrombocytopenia with thrombosis
C0272293	Chronic idiopathic thrombocytopenic purpura
C0272325	Factor 8 deficiency, acquired
C0272373	Drug-induced coagulation inhibitor disorder
C0272375	Antithrombin III Deficiency
C0273115	Lung Injury
C0274462	Poisoning by sulfadiazine
C0274478	Poisoning by pyrimethamine
C0274726	Poisoning by digitalis glycoside
C0275550	Acute bacterial peritonitis
C0275555	Acute bacterial epiglottitis
C0275556	Acute bacterial sinusitis
C0275566	Pulmonary actinomycosis
C0275652	Acute gonococcal urethritis
C0275665	Gonorrhea of rectum
C0275761	Pneumococcal pharyngitis
C0275793	Staphylococcal tonsillitis
C0275794	Staphylococcal pharyngitis
C0275804	Streptococcal tonsillitis
C0275842	Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection
C0275959	Acute tuberculosis
C0275979	Infection by Campylobacter fetus
C0275982	Enteric campylobacteriosis
C0276026	Haemophilus influenzae pneumonia
C0276064	Septicemia due to Bacteroides
C0276075	Infection due to Pseudomonas aeruginosa
C0276085	Ecthyma gangrenosum
C0276088	Escherichia coli septicemia
C0276089	Pneumonia due to Escherichia coli
C0276226	Encephalitis, Herpes Simplex
C0276228	Herpes simplex keratoconjunctivitis
C0276535	AIDS with Kaposi's sarcoma
C0276587	Nutritional deficiency associated with AIDS
C0276648	Mycotic endocarditis
C0276653	Invasive Pulmonary Aspergillosis
C0276688	Pulmonary cryptococcosis
C0276725	Disseminated sporotrichosis
C0276754	Onychomycosis due to Trichophyton rubrum
C0276755	Onychomycosis due to Trichophyton mentagrophytes
C0276758	Fusariosis
C0277528	Traveler's diarrhea
C0277919	Postthrombotic Syndrome
C0278076	Tics
C0278140	Severe pain
C0278488	Carcinoma breast stage IV
C0278498	Malignant neoplasm of stomach stage IV
C0278678	Metastatic Renal Cell Cancer
C0278701	Gastric Adenocarcinoma
C0278996	Cancer of Head and Neck
C0279543	Philadelphia chromosome positive chronic myelogenous leukemia
C0280324	Laryngeal Squamous Cell Carcinoma
C0281361	Adenocarcinoma of pancreas
C0282193	Iron Overload
C0282488	Cystitis, Interstitial
C0282492	Sneddon Syndrome
C0282504	Environmental Illness
C0282507	Heat Stress Disorders
C0282513	Aphasia, Primary Progressive
C0282550	Persian Gulf Syndrome
C0282577	Congenital Disorders of Glycosylation
C0282606	Muscle Neoplasms
C0282612	Prostatic Intraepithelial Neoplasia
C0282631	Facies
C0282677	Burkholderia Infections
C0302535	Tooth, Nonvital
C0302592	Cervix carcinoma
C0311277	Obesity, Abdominal
C0311375	Arsenic Poisoning
C0314657	Genetic Predisposition to Disease
C0333355	Mucositis
C0333641	Atrophy
C0333980	Focal Nodular Hyperplasia
C0334579	Anaplastic astrocytoma
C0334634	Lymphoma, Mantle-Cell
C0338395	Meningitis, Escherichia coli
C0338396	Proteus meningitis
C0338437	Neurocysticercosis
C0338451	Frontotemporal Dementia
C0338480	Migraine without Aura
C0338586	Vertebral Artery Dissection
C0338591	Amnesia, Transient Global
C0338873	Bipolar affective disorder, current episode manic
C0338908	Mixed anxiety and depressive disorder
C0339143	Graves Ophthalmopathy
C0339170	Fungal conjunctivitis
C0339293	Corneal Perforation
C0339498	Central retinal vein occlusion with macular edema
C0339507	Branch retinal vein occlusion with macular edema
C0339527	Leber Congenital Amaurosis
C0339932	Acute Moraxella catarrhalis bronchitis
C0339933	Acute bacterial bronchitis
C0339959	Chlamydial pneumonia
C0339968	Neonatal pneumonia
C0340274	Hypertension, Pregnancy-Induced
C0340293	Anterior Wall Myocardial Infarction
C0340354	Q fever endocarditis
C0340970	Congenital neutropenia
C0341106	Eosinophilic Esophagitis
C0341503	Bacterial peritonitis
C0341823	Epithelial tumor of ovary
C0341834	Chlamydial cervicitis
C0341950	Severe pre-eclampsia
C0342257	Diabetes Complications
C0342527	Deficiency of testosterone biosynthesis
C0342634	Neonatal hypocalcemia
C0342731	Mevalonate Kinase Deficiency
C0342751	Generalized glycogen storage disease of infants
C0342826	3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency
C0342827	Delta-4-3-oxosteroid-5-beta-reductase deficiency
C0342881	Familial hypercholesterolemia - homozygous
C0342882	Familial hypercholesterolemia - heterozygous
C0342907	Sitosterolemia
C0342985	Superficial bacterial infection of skin
C0343065	Symptomatic dermographism
C0343378	Helicobacter-associated gastritis
C0343386	Clostridium difficile infection
C0343402	Bacterial infection due to Klebsiella pneumoniae
C0343467	Erythema nodosum leprosum
C0343500	Gas gangrene caused by clostridium perfringens
C0343532	Streptococcal toxic shock syndrome
C0343730	Perianal warts
C0343833	Tertiary lesion of yaws
C0343886	Gastrointestinal candidiasis
C0345335	Multicystic Dysplastic Kidney
C0345468	Transplanted organ rejection
C0345904	Malignant neoplasm of liver
C0346161	Malignant epithelial tumor of ovary
C0346302	Growth Hormone-Secreting Pituitary Adenoma
C0346421	Chronic eosinophilic leukemia
C0346974	Secondary malignant neoplasm of colon
C0346976	Secondary malignant neoplasm of pancreas
C0346993	Secondary malignant neoplasm of female breast
C0347950	Asthma attack
C0348868	Listerial endocarditis
C0348898	Irritable bowel syndrome with diarrhea
C0349009	Septicemia candida
C0349231	Phobic Disorders
C0349464	Wernicke-Korsakoff Syndrome
C0349506	Photosensitivity of skin
C0349543	Glioblastoma multiforme of brain
C0349636	Pre B-cell acute lymphoblastic leukemia
C0349639	Leukemia, Myelomonocytic, Juvenile
C0349649	Pulmonary lymphangioleiomyomatosis
C0349719	Herpes simplex infection of skin
C0349734	Female pelvic cellulitis
C0349774	Diverticulitis of gastrointestinal tract
C0349788	Arrhythmogenic Right Ventricular Dysplasia
C0349790	Exacerbation of asthma
C0362046	Prediabetic State
C0376286	Avitaminosis
C0376287	Behavior Control
C0376358	Malignant neoplasm of prostate
C0376480	Gingival Overgrowth
C0376545	Hematologic Neoplasms
C0376549	Roseolovirus Infections
C0376618	Endotoxemia
C0376620	Pouchitis
C0376628	Chromosome Breakage
C0376634	Craniofacial Abnormalities
C0376670	Pancreatitis, Alcoholic
C0392164	Pulmonary Cystic Fibrosis
C0392171	Influenza-like symptoms
C0392190	Mucositis following radiation therapy
C0392445	Necrobiosis Lipoidica Diabeticorum
C0392525	Nephrolithiasis
C0392618	Postoperative infection
C0392784	Dermatofibrosarcoma Protuberans
C0393571	Multiple System Atrophy
C0393593	Dystonic Disorders
C0393665	Multiple Sclerosis, Chronic Progressive
C0393735	Headache Disorders
C0393760	Initial insomnia
C0393772	Non-24 hour sleep-wake cycle
C0395818	Malignant otitis externa due to Pseudomonas aeruginosa
C0398353	Hypoventilation
C0398623	Thrombophilia
C0398625	Protein C Deficiency
C0398775	Hereditary C1 esterase inhibitor deficiency - deficient factor
C0398791	Nijmegen Breakage Syndrome
C0399352	Anodontia
